timestamp,turbidity_raw,pH,alkalinity_mgL,hardness_mgL,temperature_C,flow_rate_m3s,coagulant_dose_mgL,turbidity_after_coagulation,turbidity_after_sedimentation,turbidity_after_filtration,turbidity_final,compliance_flag,chemical_cost,energy_consumption_kWh,total_cost,scenario_type,season,rainfall_intensity_mm_hr,TSS_mgL,DOC_mgL,conductivity_uScm,mixing_intensity_G_s,flocculation_time_min
1/1/2020 0:00,6.657,7.5,120.0,150.0,10.0,1.5,7.559,5.3063219614151285,3.3357546399586693,1.028,3.4692061359459543,1,0.0049,0.375,0.3799,normal,Winter,0.0,16.8,1.55,300.0,723.55,23.21
1/1/2020 1:00,4.471,7.514,120.09,150.78,11.14,1.4682,10.557,3.257311289484263,2.1669097998470637,0.625,1.53642676132501,1,0.0067,0.3671,0.3738,normal,Winter,0.0,7.62,3.16,298.76,735.8,20.38
1/1/2020 2:00,4.357,7.566,119.78,149.71,11.94,1.5041,5.836,3.6572216500560106,2.4212979688183003,0.635,2.8256821074599254,1,0.0038,0.376,0.3798,normal,Winter,0.0,8.76,2.85,304.08,699.87,20.62
1/1/2020 3:00,2.567,7.576,120.47,149.5,12.15,1.4944,6.61,2.105257740936459,1.2802276349044415,0.253,1.8577415320256643,1,0.0043,0.3736,0.3779,normal,Winter,0.0,5.0,2.65,299.06,737.4,24.87
1/1/2020 4:00,7.266,7.574,121.02,148.99,12.35,1.5083,9.551,5.455781836696674,3.6120516456275267,0.959,2.9267080395468703,1,0.0062,0.3771,0.3833,normal,Winter,0.0,26.75,2.78,294.27,678.04,20.62
1/1/2020 5:00,3.367,7.584,120.73,148.62,10.36,1.5366,6.359,2.7822282632213144,1.836849985584334,1.162,1.8424879445342965,1,0.0042,0.3841,0.3884,normal,Winter,0.0,6.7,1.76,300.08,751.24,20.76
1/1/2020 6:00,6.512,7.492,122.25,150.97,12.46,1.528,7.342,5.224643828328027,3.4680297201311276,1.659,4.546574969423279,1,0.0048,0.382,0.3868,normal,Winter,0.0,17.91,2.62,305.18,682.23,20.49
1/1/2020 7:00,7.983,7.481,120.7,149.75,12.39,1.529,8.607,6.166332672071317,3.8818206398928017,0.899,3.9158522350624,1,0.0057,0.3823,0.3879,normal,Winter,0.0,14.02,2.76,306.45,790.03,23.14
1/1/2020 8:00,7.022,7.419,121.1,150.38,10.88,1.5462,8.247,5.482921491263369,3.4807162018692055,0.97,2.776522582704917,1,0.0055,0.3865,0.3921,normal,Winter,0.0,13.9,1.5,301.18,687.65,22.72
1/1/2020 9:00,4.694,7.393,120.98,152.29,10.77,1.5482,6.456,3.86748760067467,2.4744177044945834,1.701,2.477391871275017,1,0.0043,0.3871,0.3914,normal,Winter,0.0,15.67,2.13,298.99,713.36,22.33
1/1/2020 10:00,8.774,7.349,121.47,153.39,10.54,1.5416,12.271,6.071846760748694,4.2201167888335895,0.775,4.099330353645199,1,0.0082,0.3854,0.3936,normal,Winter,0.0,20.7,2.62,290.0,762.36,18.19
1/1/2020 11:00,5.482,7.306,121.57,152.84,10.0,1.547,6.494,4.51159160886929,2.8726932313581215,1.423,3.686325467895482,1,0.0043,0.3867,0.3911,normal,Winter,0.0,21.36,2.71,295.67,772.54,22.57
1/1/2020 12:00,3.166,7.261,121.83,155.53,13.09,1.5352,5.0,2.725001453361733,1.7068831046252853,0.01,1.391804707785366,1,0.0033,0.3838,0.3871,normal,Winter,0.0,5.0,1.97,298.43,760.14,23.39
1/1/2020 13:00,5.793,7.382,120.03,155.84,11.55,1.5148,8.165,4.534434106072498,2.814262652507262,0.551,3.1620110712258316,1,0.0053,0.3787,0.384,normal,Winter,0.0,22.3,2.23,300.07,753.38,23.85
1/1/2020 14:00,7.969,7.381,120.25,157.56,10.07,1.5031,5.608,6.735008112671252,4.389955166601187,1.599,4.409757426729665,1,0.0036,0.3758,0.3794,normal,Winter,0.0,17.31,2.17,295.84,743.26,21.4
1/1/2020 15:00,4.816,7.444,121.29,156.48,10.0,1.488,9.501,3.6215919994124315,2.1825931931570945,0.213,1.717781626290528,1,0.0061,0.372,0.3781,normal,Winter,0.0,10.01,3.58,293.55,716.24,25.32
1/1/2020 16:00,8.697,7.483,120.68,157.63,10.7,1.5119,5.0,7.485577270968727,4.658894268796008,1.811,3.721245684316055,1,0.0033,0.378,0.3813,under_dose,Winter,0.0,21.33,2.1,296.19,742.49,23.71
1/1/2020 17:00,4.576,7.518,121.68,158.96,11.13,1.4616,7.766,3.6249672510672935,2.305840504639864,1.02,2.7500944517107606,1,0.0049,0.3654,0.3703,process_upset,Winter,0.0,9.01,1.64,293.24,711.47,22.62
1/1/2020 18:00,4.916,7.545,121.32,157.4,12.07,1.4828,5.0,4.231240412105585,2.5653506930245236,1.832,2.5671929351234795,1,0.0032,0.3707,0.3739,normal,Winter,0.0,15.27,2.72,301.19,726.53,25.02
1/1/2020 19:00,3.887,7.648,120.72,160.09,12.32,1.5518,5.333,3.3123160307063553,2.145231885939427,1.709,1.849645362037964,1,0.0036,0.3879,0.3915,normal,Winter,0.0,7.87,1.92,296.49,729.84,21.72
